btz_01,btz_02,btz_03,btz_04,cantidad_elementos
TE,TE-DDV-LGC-DESC. VAGONES,,,3
TE,TE-ALM-LGC-ALMACENAJE (SILOS),TE-ALM-SLO-SILO 5,,2
,PP-HRN-SRT-SR01,,,1
,PP-PRL-LGC-PRELIMPIEZA,,,1
,PP-PRP-LGC-EXPANDIDO,,,1
,PP-PRP-LGC-LAMINADORES,,,1
,PP-PRP-LGC-QUEBRADORES,,,1
P10,P10-DSC-LGC-DESCASCARADO,P10-DSC-LGC-CONJUNTO CCD 1RA,,1
P10,P10-PRP-LGC-PREPARACION,P10-PRP-LGC-EXPANDIDO,,1
P10,P10-SRV-LGC-SERVICIOS,P10-SRV-LGC-TRATAMIENTO AGUA,,1
P10-EXT-LGC-EXTRACCION,P10-EXT-LGC-DESGOMADO,,,1
P10-EXT-LGC-EXTRACCION,P10-EXT-LGC-DESTILACION,,,1
P10-EXT-LGC-EXTRACCION,P10-EXT-LGC-RECUP GASES,,,1
P10-EXT-LGC-EXTRACCION,P10-EXT-LGC-SOLVENTE,,,1
P10-HRN-LGC-HARINA,P10-HRN-LGC-SEC. ROTATIVOS,,,1
P10-PRP-LGC-PREPARACION,P10-PRP-LGC-BEAN HEATER,,,1
P10-PRP-LGC-PREPARACION,P10-PRP-LGC-LAMINADORES,,,1
P10-PRP-LGC-PREPARACION,P10-PRP-LGC-QUEBRADORES,,,1
P10-PRP-LGC-PREPARACION,P10-PRP-LGC-REDLER,,,1
PP,PP-LCT-LGC-LECITINA,,,1
PP,PP-LCT-LGC-LECITINA,PP-LCT-LGC-TORRES ENFRIAMIENTO,,1
PP,PP-PRL-LGC-PRELIMPIEZA,PP-PRL-LGC-SILOS,PP-PRL-SLO-SA00,1
PP-PRP-LGC-PREPARACION,PP-PRP-LGC-REDLER,,,1
TE,TE-ACT-LGC-SECTOR ACEITE,TE-ACT-LGC-TANQUES 400,TE-BIO-TNQ-TK400,1
TE,TE-ACT-LGC-SECTOR ACEITE,TE-ACT-LGC-TANQUES 400,TE-BIO-TNQ-TK401,1
TE,TE-ACT-LGC-SECTOR ACEITE,TE-ACT-LGC-TANQUES 400,TE-BIO-TNQ-TK402,1
TE,TE-ACT-LGC-SECTOR ACEITE,TE-ACT-LGC-TANQUES 400,TE-FUEL-TNQ-TK403,1
TE,TE-ACT-LGC-SECTOR ACEITE,TE-ACT-LGC-TANQUES 400,TE-FUEL-TNQ-TK404,1
TE,TE-ACT-LGC-SECTOR ACEITE,TE-ACT-LGC-TANQUES 400,TE-FUEL-TNQ-TK405,1
TE,TE-ACT-LGC-SECTOR ACEITE,TE-ACT-LGC-TANQUES ACEITE,TE-ACT-TNQ-TK1,1
TE,TE-ACT-LGC-SECTOR ACEITE,TE-ACT-LGC-TANQUES ACEITE,TE-ACT-TNQ-TK2,1
TE,TE-ACT-LGC-SECTOR ACEITE,TE-ACT-LGC-TANQUES ACEITE,TE-ACT-TNQ-TK3,1
TE,TE-ACT-LGC-SECTOR ACEITE,TE-ACT-LGC-TANQUES ACEITE,TE-ACT-TNQ-TK4,1
TE,TE-ACT-LGC-SECTOR ACEITE,TE-ACT-LGC-TANQUES ACEITE,TE-ACT-TNQ-TK5,1
TE,TE-ACT-LGC-SECTOR ACEITE,TE-ACT-LGC-TANQUES ACEITE,TE-ACT-TNQ-TK6,1
TE,TE-ACT-LGC-SECTOR ACEITE,TE-ACT-LGC-TANQUES ACEITE,TE-ACT-TNQ-TK7,1
TE,TE-ACT-LGC-SECTOR ACEITE,TE-ACT-LGC-TANQUES ACEITE,TE-LCT-TNQ-TK8,1
TE,TE-ACT-LGC-SECTOR ACEITE,TE-ACT-LGC-TANQUES ACEITE OSL,TE-ACT-TNQ-TK12,1
TE,TE-ACT-LGC-SECTOR ACEITE,TE-ACT-LGC-TANQUES ACEITE OSL,TE-LCT-TNQ-TK1,1
TE,TE-ACT-LGC-SECTOR ACEITE,TE-ACT-LGC-TANQUES ACEITE OSL,TE-LCT-TNQ-TK11,1
TE,TE-ACT-LGC-SECTOR ACEITE,TE-ACT-LGC-TANQUES ACEITE OSL,TE-LCT-TNQ-TK2,1
TE,TE-ACT-LGC-SECTOR ACEITE,TE-GLC-LGC-TANQUES TGR,TE-GLC-TNQ-TK TGR10,1
TE,TE-ACT-LGC-SECTOR ACEITE,TE-GLC-LGC-TANQUES TGR,TE-GLC-TNQ-TK TGR11,1
TE,TE-ACT-LGC-SECTOR ACEITE,TE-GLC-LGC-TANQUES TGR,TE-GLC-TNQ-TK TGR12,1
TE,TE-ACT-LGC-SECTOR ACEITE,TE-GLC-LGC-TANQUES TGR,TE-GLC-TNQ-TK TGR9,1
TE,TE-ADM-LGC-EDIFICIOS VARIOS,TE-ADM-EDF-COCHERAS,,1
TE,TE-ADM-LGC-EDIFICIOS VARIOS,TE-ADM-EDF-DPTO MEDICO,,1
TE,TE-ADM-LGC-EDIFICIOS VARIOS,TE-ADM-EDF-OFICINAS,,1
TE,TE-ADM-LGC-EDIFICIOS VARIOS,TE-ADM-EDF-PORTERIA,,1
TE,TE-ALM-LGC-ALMACENAJE (SILOS),TE-ALM-SLO-SILO 6,,1
TE,TE-ALM-LGC-ALMACENAJE (SILOS),TE-ALM-SLO-SILO 7,,1
TE,TE-CLD-LGC-DPTOCALIDAD,TE-CLD-LGC-CALADO CAMIONES,,1
TE,TE-DDC-LGC-DESCARGA CAMIONES,TE-DDC-PTV-PV1,,1
TE,TE-DDC-LGC-DESCARGA CAMIONES,TE-DDC-PTV-PV2,,1
TE,TE-DDC-LGC-DESCARGA CAMIONES,TE-DDC-PTV-PV3,,1
TE,TE-DDC-LGC-DESCARGA CAMIONES,TE-DDC-PTV-PV4,,1
TE,TE-DDC-LGC-DESCARGA CAMIONES,TE-DDC-PTV-PV5,,1
TE,TE-EXP-LGC-EXPEDICION,TE-EXP-LGC-SECTOR BALANZA PTO,,1
