BTZ_Description_01,BTZ_Description_02,BTZ_Description_03,cantidad,element_ids
TE-ACT-LGC-TANQUES ACEITE,,,8,196831;196851;196872;196891;239853;239868;239885;287288
PP-DSC-LGC-DESCASCARADO,,,4,183538;183638;183810;184070
TE-DDC-LGC-DESCARGA CAMIONES,TE-DCC-SIS-ASP. TUNEL CR3-CR4; TE-DDC-FLT-FMDDC;,,4,170458;324131;324149;324170
TE-DDV-LGC-DESC. VAGONES,,,4,247155;247308;247346;247373
P10-EXT-LGC-EXTRACCION,,,3,282497;282656;282755
PP-HRN-LGC-HARINA,,,3,285276;285397;286624
TE-ACT-LGC-TANQUES ACEITE OSL,,,3,174187;174203;174229
P10-HRN-LGC-HARINA,,,2,227678;281487
P10-PRL-LGC-PRELIMPIEZA,,,2,227722;227921
PP-EXT-LGC-EXTRACCION,,,2,179296;179346
TE-ACT-LGC-TANQUES 400,,,2,171843;171963
TE-ALM-LGC-SILOS,,,2,173806;174050
TE-GLC-LGC-TANQUES TGR,,,2,239910;287117
,,P10-EXT-LGC-EXTRACCION,1,282896
,PP-HRN-SRT-SR01,,1,285673
,PP-PRL-SLO-SA00,,1,173600
P10-DSC-LGC-DESCASCARADO,,,1,281184
P10-EXT-LGC-BMB RECIRCULACION,,,1,177896
P10-EXT-LGC-EXTRACCION,P10-EXT-LGC-DESGOMADO,,1,282997
P10-EXT-LGC-EXTRACCION,P10-EXT-LGC-DESTILACION,,1,282969
P10-EXT-LGC-EXTRACCION,P10-EXT-LGC-RECUP GASES,,1,282804
P10-EXT-LGC-SOLVENTE,,,1,178386
P10-HRN-LGC-HARINA,P10-HRN-LGC-SEC. ROTATIVOS,,1,228225
P10-PRP-LGC-PREPARACION,P10-PRP-LGC-BEAN HEATER,,1,281628
P10-PRP-LGC-PREPARACION,P10-PRP-LGC-EXPANDIDO,,1,281220
P10-PRP-LGC-PREPARACION,P10-PRP-LGC-LAMINADORES,,1,281343
P10-PRP-LGC-PREPARACION,P10-PRP-LGC-QUEBRADORES,,1,281069
P10-PRP-LGC-PREPARACION,P10-PRP-LGC-REDLER,,1,281815
P10-PRP-LGC-PREPARACION,PP-PRL-LGC-PRELIMPIEZA,,1,286530
P10-PRP-LGC-PREPARACION,PP-PRP-LGC-EXPANDIDO,,1,286288
P10-PRP-LGC-PREPARACION,PP-PRP-LGC-LAMINADORES,,1,286415
P10-PRP-LGC-PREPARACION,PP-PRP-LGC-QUEBRADORES,,1,286467
P10-SRV-LGC-SERVICIOS,,,1,227527
P10-SRV-LGC-TORRES ENF EXT,,,1,185694
PP-LCT-LGC-LECITINA,,,1,184857
PP-PLL-LGC-PELLETERA,,,1,285377
PP-PRP-LGC-PREPARACION,,,1,284902
PP-PRP-LGC-PREPARACION,PP-PRP-LGC-REDLER,,1,286906
PP-SRV-LGC-SERVICIOS,,,1,284763
TE-ALM-LGC-CELDAS,TE-ALM-CLD-CELDA 2,,1,164356
TE-ALM-LGC-CELDAS,TE-ALM-CLD-CELDA 3,,1,172255
TE-ALM-LGC-CELDAS,TE-ALM-CLD-CELDA 4,,1,174292
TE-ALM-LGC-CELDAS,TE-ALM-CLD-CELDA1,,1,164153
TE-CLD-LGC-DPTOCALIDAD,,,1,243779
TE-DDC-LGC-DESCARGA CAMIONES,PP-PRP-LGC-REDLER,,1,324189
TE-SCD-LGC-SECTOR SECADORA,,,1,285419
